date,type,price,entry_level
2025-12-17,BUY,208.01199340820312,207.99899291992188
2025-12-25,BUY,211.0659942626953,211.0019989013672
2025-12-31,BUY,211.10899353027344,211.0959930419922
2026-01-02,BUY,211.39100646972656,211.37600708007812
2026-01-05,BUY,211.41600036621094,211.3350067138672
2026-01-05,BUY,211.60800170898438,211.58999633789062
2026-01-09,BUY,211.07200622558594,211.04800415039062
2026-01-09,BUY,211.33299255371094,211.27699279785156
2026-01-12,BUY,212.14100646972656,212.06500244140625
2026-01-15,BUY,213.1820068359375,213.0919952392578
2026-01-20,BUY,213.4550018310547,213.3090057373047
2026-01-22,BUY,213.2530059814453,213.20899963378906
2026-01-27,BUY,211.26400756835938,211.197998046875
2026-01-28,BUY,211.76699829101562,211.75599670410156
2026-01-29,BUY,212.0449981689453,211.8979949951172
